song_name,artist,album,genre
When Your Heart Is A Stranger,Friends In Paris,When Your Heart Is A Stranger,Pop
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,I.,Pop
Each Time You Fall in Love,Cigarettes After Sex,Each Time You Fall in Love,Pop
Affection,Cigarettes After Sex,Affection,Pop
PPP,Beach House,Depression Cherry,Pop
Thirsty,Geoffroy,Coastline,Pop
lucid,slenderbodies,lucid,Pop
Life Itself,Glass Animals,How To Be A Human Being,Pop
The Sinner,Isaac Delusion,Rust & Gold,Pop
Good Love,Zola Blood,Infinite Games,Pop
Slip,Elliot Moss,Highspeeds,Pop
Hyde,Astrid S,Hyde,Pop
High And Dry,Radiohead,Rock Ballads,Pop
Silvertongue,Young the Giant,Silvertongue,Pop
Paris 12,Linying,Paris 12,Pop
Sticky Leaves,Linying,Paris 12,Pop
drugs,EDEN,i think you think too much of me,Pop
Miss You,James Hersey,Miss You,Pop
Speak Easy,Mansionair,Pick Me Up,Pop
Gemini Feed,BANKS,Gemini Feed,Pop
Easy Ride,Natali Felicia,Easy Ride,Pop
Here with Me,Susie Suh,Here with Me,Pop
Dust,Hana Oceans,Dust,Pop
Hurts So Good,Astrid S,Astrid S,Pop
Capsize,FRENSHIP,Capsize,Pop
Stretch Your Eyes,Agnes Obel,Citizen of Glass,Pop
Familiär,Agnes Obel,Citizen of Glass,Pop
Red Virgin Soil,Agnes Obel,Citizen of Glass,Pop
It's Happening Again,Agnes Obel,Citizen of Glass,Pop
Stone,Agnes Obel,Citizen of Glass,Pop
Trojan Horses,Agnes Obel,Citizen of Glass,Pop
Citizen of Glass,Agnes Obel,Citizen of Glass,Pop
Golden Green,Agnes Obel,Citizen of Glass,Pop
Grasshopper,Agnes Obel,Citizen of Glass,Pop
Mary,Agnes Obel,Citizen of Glass,Pop
